Time(s),Amplitude(V)
0.000000,0.0000
0.020000,0.6267
0.040000,1.2434
0.060000,1.8406
0.080000,2.4088
0.100000,2.9389
0.120000,3.4227
0.140000,3.8526
0.160000,4.2216
0.180000,4.5241
0.200000,4.7553
0.220000,4.9114
0.240000,4.9901
0.260000,4.9901
0.280000,4.9114
0.300000,4.7553
0.320000,4.5241
0.340000,4.2216
0.360000,3.8526
0.380000,3.4227
0.400000,2.9389
0.420000,2.4088
0.440000,1.8406
0.460000,1.2434
0.480000,0.6267
0.500000,0.0000
0.520000,-0.6267
0.540000,-1.2434
0.560000,-1.8406
0.580000,-2.4088
0.600000,-2.9389
0.620000,-3.4227
0.640000,-3.8526
0.660000,-4.2216
0.680000,-4.5241
0.700000,-4.7553
0.720000,-4.9114
0.740000,-4.9901
0.760000,-4.9901
0.780000,-4.9114
0.800000,-4.7553
0.820000,-4.5241
0.840000,-4.2216
0.860000,-3.8526
0.880000,-3.4227
0.900000,-2.9389
0.920000,-2.4088
0.940000,-1.8406
0.960000,-1.2434
0.980000,-0.6267
